geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
8,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3214939999998023,6,3
9,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3478094999991299,7,3
10,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31251869999869086,8,3
11,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3144123000001855,9,3
12,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32730160000028263,10,3
13,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31357829999979003,11,3
14,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31996669999898586,12,3
15,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3279292000006535,13,3
16,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31632239999999,14,3
17,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31018240000048536,15,3
18,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.30058400000052643,16,3
19,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.30602299999918614,17,3
20,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3140676999992138,18,3
21,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3240522999985842,19,3
22,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3159938000007969,20,3
23,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31718870000077004,21,3
24,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3248115999995207,22,3
25,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.33927089999997406,23,3
26,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3323276999999507,24,3
27,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3176911000009568,25,3
28,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32275490000029095,26,3
29,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31844189999901573,27,3
30,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.4505179000007047,28,3
31,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3296716999993805,29,3
32,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32096199999978126,30,3
33,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32139400000050955,31,3
34,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32872409999981755,32,3
35,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3218709000011586,33,3
36,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31258879999950295,34,3
37,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3251297999995586,35,3
38,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3186552999995911,36,3
39,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31468499999937194,37,3
40,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3523329999989073,38,3
41,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.32124819999989995,39,3
